id,prdct_nm,title,subtitl,edtn,pictr_writr_nm,sntnc_writr_nm,orginl_title,main_genre_cd_nm,outline,isbn,set_isbn,plscmpn_id_nm,age_grad_cd_nm,image_download_url,created_dt,updated_dt
1,이건 사랑이지 연애가 아냐,[전자책]이건 사랑이지 연애가 아냐 6권,"","",우메자와 마리나,우메자와 마리나,"",로맨스/순정,"날라리 같은 외모에 비해 연애관은 순진한 야오토메 렌.

툭하면 까칠한 소리만 하는 같은 반의 S기질 남자 히다카 유세이가 너무 싫기만 하다.

그러던 어느 날, 교통사고로 히다카의 여동생 마나미와 몸이 바뀌게 되는데??

학교에서는 재수 없지만 오빠 모드인 히다카는 너무나도 다정하다……

그런 히다카의 모습에 두근거려버린 렌은……?",9791137352384,"",대원씨아이,전체연령,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=234ec7aa-05c0-4444-a9da-b54aef95bed2,2025-07-01 06:40:36,2025-07-01 06:40:36
2,운명을 믿지 않는 그가 말하길,[전자책]운명을 믿지 않는 그가 말하길 4권,"","",오무 더 라이스,오무 더 라이스,"",드라마,"""나에게는 운명이 보여."" 운명의 붉은 실이 보이는 코스케는 대학 동기인 유카를 짝사랑하는 중.

하지만 그는 그 마음을 가슴에 숨기고 있다.

왜냐하면 두 사람의 운명의 붉은 실은 이어져 있지 않기에………

운명에 농락당하는 어른의 사랑을 그린 초조하고 두근거리는 러브 스토리.",9791165804428,"",시프트 코믹스,전체연령,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=98b55f7c-5b48-4e91-b8c1-ed4a957a6c1c,2025-07-01 06:40:36,2025-07-01 06:40:36
3,어서 오세요 『추방자 길드』에,[전자책]어서 오세요 『추방자 길드』에 ~무능한 S랭크 파티가 차례차례로 유능한 모험가를 추방하니 최약을 모아 최강 길드를 만들겠습니다~ 3권,무능한 S랭크 파티가 차례차례로 유능한 모험가를 추방하니 최약을 모아 최강 길드를 만들겠습니다,"",아라키 유스케,아라키 유스케,"",판타지,"""그 아이를 추방하실 겁니까? 그럼 『저희』가 데려가겠습니다.""

스테이터스를 수치화하는 장치의 발명으로 인해 낮은 스테이터스의 동료를 추방하는 일이 유행하는 요즘.

수치로는 보이지 않는 능력 「히든 스킬」을 볼 수 있는 청년 아이젠은 이 「스테이터스 지상주의」에 의문을 품고 있었다.

그런 아이젠의 눈앞에서 지금 그야말로 소녀가 추방되기 직전인데……?",9791170592358,"",시프트 코믹스,전체연령,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=7acd8ad5-4702-4479-b974-4b73e7541273,2025-07-01 06:40:36,2025-07-01 06:40:36
4,악역 영애로 전생한 시골 아가씨가 배드엔딩 회피에 도전하는 이야기,[전자책]악역 영애로 전생한 시골 아가씨가 배드엔딩 회피에 도전하는 이야기 2권,"","",시오타 하루토,시오타 하루토,"",로맨스/순정,"악역 영애로 전생을 했더니 마왕이 내게 첫눈에 반했다??

마물에게 공격을 당해 죽음을 앞둔 시골의 아가씨.

숨을 거두기 직전 그녀가 빈 소원은 '신 님, 제게도 소임이 주어진 인생을 주세요.' 그렇게 눈을 뜬 새로운 세계에서 그녀는 정말 좋아하는 소설의 악역 영애, 슬레이어 레이번이 되고 말았다!!

히로인과 대립하고 마왕에게 죽게 되는 '파멸 확정' 인생을 회피하기 위해 최강의 힘을 손에 넣었더니 마왕에게 구혼 받는 미지의 루트에 돌입을 하게 되는데……?

소설의 지식과 최강의 힘을 무기 삼아 배드엔딩을 회피하려는 시골 아가씨의 대역전 러브 판타지 개막!!",9791127489762,"",AK커뮤니케이션즈,전체연령,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=4a39c56c-fcbd-49f6-8e60-69c09c3cb106,2025-07-01 06:40:36,2025-07-01 06:40:36
5,사정을 모르는 전학생이 거침없이 다가온다.,[전자책]사정을 모르는 전학생이 거침없이 다가온다. 17권,"","",카와무라 타쿠,카와무라 타쿠,"",로맨스/순정,"무지와, 솔직함은, 최강이다. 트위터 화제의 하트풀 스토리!

거침없이 등장!! 늘 놀림감이 되는 여자아이.

킥킥거리며 비웃는 같은 반 아이들. 전학생인 타카다는 그런 반의 속사정을 잘 모른다.

그렇기에 똑바로, 그녀에게 다가간다.",9791136710840,"",서울미디어코믹스,전체연령,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=72538aef-f624-4d66-b60c-f87bc2903276,2025-07-01 06:40:36,2025-07-01 06:40:36
6,불가항력의 I LOVE YOU,[전자책]불가항력의 I LOVE YOU 4권,"","",호시노 미즈키,호시노 미즈키,"",로맨스/순정,"고등학교 1학년인 세나는 엄청난 유죄 인간, 와타야 선배를 짝사랑 중.

가망이 없으니까…라며 사랑을 봉인했는데, 매일 선배의 매력에 휘둘리기만 한다!!

세나는 어떻게든 단념하고 싶어 하지만, 엉뚱한 일을 계기로 선배랑 「시험 교제」를 하게 되는데―――?",9791137366800,"",서울미디어코믹스,전체연령,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=4d505568-875f-4516-8be8-8e17c672b6fa,2025-07-01 06:40:36,2025-07-01 06:40:36
7,나는 성간 국가의 악덕 영주!,[전자책]나는 성간 국가의 악덕 영주! 3권,"","",나다시마 카이,나다시마 카이,"",판타지,"성간 국가 알그란드 제국의 변경 행성을 다스리는 백작가에 전생해 어린 나이에 영주가 된 리암 세라 번필드.

타고난 선량함 때문에 아내와 회사에게 배신당한 전생을 반성해 이번 생에는 '빼앗는 쪽'으로서 살기로 결심한다――",9791138437875,"",S코믹스,전체연령,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=bb780265-80b6-4f0a-8114-f1f9f50551d1,2025-07-01 06:40:36,2025-07-01 06:40:36
8,가버리는 유부녀,[전자책]가버리는 유부녀,"","",쿠즈카고 츠즈라,쿠즈카고 츠즈라,"",드라마,"육덕한 그림체와 야릇한 시추에이션의 묘사가 특징인 쿠즈카고 츠즈라 작가의 상업지가 한국에 상륙!

각기 다른 매력을 가진 6명의 유부녀들과 9개의 에피소드를 지금 바로 무삭제로 만나보세요!!",9791127491710,"",바닐라,18세 이상,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=ea41c269-0bc5-485d-93bf-fb4a9da8cae9,2025-07-01 06:40:36,2025-07-01 06:40:36
9,가마쿠라 요괴고양이 클럽,[전자책]가마쿠라 요괴고양이 클럽 2권,"","",이가라시 다이스케,이가라시 다이스케,"",로맨스/순정,"요괴 고양이 클럽이 찾아온다. 고도(古都) 가마쿠라에는 옛부터 내려온 고양이에 얽힌 소문이 있다――

가마쿠라 어딘가에 있는 '요괴고양이 클럽'에 가면 사라진 고양이를 만날 수 있다는 소문.

마야와 가쿠토가 일하는 '가마쿠라 고양이 클럽'에는 오늘도 그 소문을 들은 사람들이 헤매다 찾아들어 이야기를 풀어놓는다.

그것이 괴이(怪異)를 불러들인다는 것도 모른 채....

인간과 동물, 이승과 저승. 의식과 무의식의 경계에 드러나는 괴이담, 제2권!",9791142318177,"",대원씨아이,전체연령,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=b99c09c9-02a8-4703-a584-0553d0547f82,2025-07-01 06:40:36,2025-07-01 06:40:36
10,차가워 보이던 선배는 스윗한 남친이었습니다,차가워 보이던 선배는 스윗한 남친이었습니다,,"",챠마,챠마,,로맨스/순정,"사귄 지 3년 된 남친이 전여친과 있는 걸 우연히 본 치히로.

그러나 남친은 치히로를 오히려 스토커처럼 대한다.

함께 살던 집에서 뛰쳐나온 치히로는 인터넷 카페에 머무는 슬픈 생활을 이어 나간다.

어느 날 치히로는 무섭기로 소문난 선배 시라이시에게 상담을 하고, 

치히로에게 폭언을 하는 전남친 앞에서 시라이시는 자신의 소중한 사람을 괴롭히지 말라고 경고하는데.","","","",전체연령,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=e8dd7e8b-c786-4609-9917-1fe752a6790a,2025-07-01 06:40:36,2025-07-01 06:40:36
